times,stress 3 C: 2,stress 4 C: 2,stress 5 C: 2,stress 10 C: 2,stress 11 C: 0.12,stress 8 C: 2,stress 9 C: 2,stress 12 C: 1,stress 13 C: 1,stress 20 C: 1,stress 21 C: 0.1,stress 16 C: 0.1,stress 17 C: 1,stress 18 C: 1,stress 19 C: 1,stress 22 C: 1,stress 23 C: 1,stress 24 C: 1,stress 25 C: 0.1,stress 26 C: 2,stress 40 C: 1,stress 44 C: 1,stress 30 C: 0.1,stress 32 C: 1,stress 35 C: 0.1,stress 37 C: 2,stress 38 C: 2,stress 39 C: 2
280,-0.237424101804692,-0.182777210063033,-0.170719327353336,-0.191977223503892,-0.131659885667773,-0.253285184835396,-0.23218807247552,-0.030699399582199,-0.0997091661992385,-0.148248289953469,-0.138756160915336,-0.133263603802995,-0.124910410037258,-0.177821437900467,-0.130422914858209,-0.162886001177465,-0.104101744298747,-0.127546249914152,-0.159139137793707,-0.164741526263373,-0.174798902989304,-0.13921321764118,-0.131777217764243,-0.145683763447909,-0.202105099664522,NaN,NaN,NaN
290,NaN,NaN,NaN,NaN,-0.118493646658954,NaN,NaN,-0.0307152275192255,-0.113995907946195,-0.170121897863197,-0.171363213842183,-0.15129467946909,-0.145195839740442,-0.179532708370437,-0.134847474406424,-0.140494479125794,-0.123669156668783,-0.140132840817783,-0.189880147068901,NaN,-0.213258786427376,-0.174431629735359,-0.142371792669317,-0.161176108138724,-0.180111655237908,NaN,NaN,NaN
300,-0.276837292873956,-0.176415631588586,-0.185009800686711,-0.269338644920323,-0.124228518968604,-0.269586958204529,-0.233415238479157,-0.0313179663806446,-0.111235786206177,-0.149942530364613,-0.183334092986642,-0.17642240604581,-0.175777567877205,-0.204157797769749,-0.134672290198354,-0.157892562531849,-0.112699043922392,-0.146517985888341,-0.200468836585999,-0.137163224310002,-0.229195790962978,-0.194423416144816,-0.180566583206399,-0.171195292453317,-0.238791227343255,NaN,NaN,NaN
310,NaN,NaN,NaN,NaN,-0.140827942704129,NaN,NaN,-0.0166151314603715,-0.123749874138777,-0.176346008701032,-0.201131881891025,-0.165003501160946,-0.196650659830907,-0.197102970680063,-0.160126217534204,-0.177821738430917,-0.134948064452416,-0.148469054613103,-0.17324440923735,NaN,-0.239332432595063,-0.206007487556088,-0.173907329321356,-0.213170129944664,-0.239279589324294,NaN,NaN,NaN
320,-0.2658535310363,-0.213929482736772,-0.225855119526424,-0.198824684583166,-0.191046956540522,-0.290720134218389,-0.231545438196881,-0.0697498754426739,-0.129671576211431,-0.18355711162465,-0.207282237547621,-0.176532224881033,-0.195074127179295,-0.195455813372733,-0.17887568619651,-0.199895950415933,-0.182816930170824,-0.184916260584189,-0.22100758841422,NaN,-0.223951158949679,-0.199497872790876,-0.220388495687487,-0.203450223869733,-0.232386422572435,NaN,NaN,NaN
330,NaN,NaN,NaN,NaN,-0.148574240270558,NaN,NaN,-0.085385548113873,-0.137961333008041,-0.200103692089406,-0.227077426954455,-0.205447010789182,-0.190745111269934,-0.211209995217997,-0.194811563742925,-0.173910585067896,-0.175668312536575,-0.20605444543888,-0.227032848271057,NaN,-0.257704359879719,-0.23153241521072,-0.217309561228565,-0.176856785244791,-0.253486790678851,NaN,NaN,NaN
340,-0.272999268587071,-0.257200370315286,-0.212995697062718,-0.185220422443662,-0.16541746933354,-0.291119088390592,-0.202841774929766,-0.0882440184436104,-0.136306411997422,-0.190402819609634,-0.246970789641579,-0.21653545740021,-0.193130947378842,-0.215846929617455,-0.17942690912998,-0.177915403754459,-0.189376883786389,-0.212810495172986,-0.241332838402012,NaN,-0.31425404764263,-0.225579407882872,-0.202653567735535,-0.22762138706872,-0.273718124901059,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,-0.194908898042377,NaN,NaN,-0.0979628851840688,-0.144133351901232,-0.193775898246366,-0.278360944688493,-0.204342686606929,-0.198995924329082,-0.201002728930193,-0.21082294956487,-0.22616080908235,-0.202864189492486,-0.240010003538499,-0.277760635114877,NaN,-0.290844603913044,-0.250066503717285,-0.218477998573457,-0.221659363827376,-0.276581428762198,NaN,NaN,NaN
360,-0.306022430965967,-0.288243037029537,-0.235039755825932,-0.173073607765007,-0.24189169981775,-0.275450056839457,-0.183284255020372,-0.0980298659080837,-0.16945191531362,-0.205661000991592,-0.278455862222243,-0.208599449987301,-0.22898084908081,-0.222145171299591,-0.221601098486407,-0.234377436802826,-0.249278487833521,-0.244092960142029,-0.301408624889048,NaN,-0.311853560674291,-0.250114713810285,-0.210462100149291,-0.23583225462224,-0.293125254364497,NaN,NaN,NaN
360,-0.306022430965967,-0.288243037029537,-0.235039755825932,-0.173073607765007,-0.216085650971468,-0.275450056839457,-0.183284255020372,-0.0980298659080837,-0.16945191531362,-0.205661000991592,-0.278455862222243,-0.208599449987301,-0.22898084908081,-0.222145171299591,-0.221601098486407,-0.234377436802826,-0.249278487833521,-0.244092960142029,-0.301408624889048,NaN,-0.311853560674291,-0.250114713810285,-0.210462100149291,-0.23583225462224,-0.293125254364497,NaN,NaN,NaN
