time_s,stress_MPa,ox_red,NsChanges,x_Q_Qo__mA_h,Ewe_V,halfCycle,x_I__mA,cycleNumber
363140,-0.264478975065467,0,0,-11.7667887632793,0.068097331,10,-0.399036635565092,5
363150,-0.308574251454164,0,0,-11.7678972052304,0.067906477,10,-0.399039051727801,5
363160,-0.311881141306914,0,0,-11.7690056424676,0.067925565,10,-0.399037354718265,5
363170,-0.322886711467839,0,0,-11.7701140624224,0.067925565,10,-0.399031133220391,5
363180,-0.31435586125282,0,0,-11.7712224571063,0.068020992,10,-0.39902203554971,5
363190,-0.307671663747492,0,0,-11.7723308784077,0.067982823,10,-0.399031618091583,5
363200,-0.296657930093538,0,0,-11.7734393237497,0.067868307,10,-0.399040272626834,5
363210,-0.312314865236344,0,0,-11.7745477683558,0.067906477,10,-0.399040007839202,5
363220,-0.310871338702137,0,0,-11.7756561930241,0.067639284,10,-0.399032830122639,5
363230,-0.327162371631458,0,0,-11.7767646580432,0.067906477,10,-0.39904735633437,5
363240,-0.3110377389247,0,0,-11.7778731244764,0.067734711,10,-0.399047865478358,5
363250,-0.30931849501692,0,0,-11.7789815586996,0.067639284,10,-0.399036270027148,5
363260,-0.319720764629129,0,0,-11.7800899966439,0.067753799,10,-0.399037609462516,5
363270,-0.349502921172948,0,0,-11.7811984504351,0.067696542,10,-0.39904331421085,5
363280,-0.358011413851609,0,0,-11.7823068717967,0.067734711,10,-0.399031639740583,5
363290,-0.317724406960812,0,0,-11.7834153005212,0.067582026,10,-0.399034290243089,5
363300,-0.374175682465309,0,0,-11.784523779866,0.067601115,10,-0.399052513515184,5
363310,-0.354263787444778,0,0,-11.7856322422956,0.067543857,10,-0.399046424294301,5
363320,-0.310443384459508,0,0,-11.7867406665651,0.067543857,10,-0.399032686364603,5
363330,-0.364435499758572,0,0,-11.7878491202328,0.067505687,10,-0.399043269518698,5
363340,-0.326528473328795,0,0,-11.788957583554,0.067429349,10,-0.399046745073336,5
363350,-0.330832368129957,0,0,-11.7900660389928,0.067467518,10,-0.399043907424196,5
363360,-0.348181463411378,0,0,-11.7911745244231,0.06744843,10,-0.399054704607213,5
363370,-0.36376864058556,0,0,-11.7922830066214,0.067524776,10,-0.399053541159299,5
363380,-0.363194679508029,0,0,-11.7933914433948,0.067372091,10,-0.399037187928997,5
