times,stress 1 C: 0.1,stress 5 C: 0.24,stress 6 C: 0.4,stress 10 C: 0.1,stress 11 C: 0.1,stress 12 C: 0.24
540,NaN,-1.14034883254815,-0.865787713994722,-0.769070689107423,-0.84879358370895,NaN
550,NaN,-1.15133587961969,-0.864698283502981,-0.780127292794552,-0.931067467187386,NaN
560,NaN,-1.16504143108402,-0.885302402138082,-0.798318376507005,-0.953328482369783,NaN
570,NaN,-1.17361428395598,NaN,-0.823159942127939,-0.988934513892351,NaN
580,NaN,-1.18511720925984,-0.907872074802176,NaN,-1.02318535068776,NaN
580,NaN,NaN,NaN,NaN,-1.02318535068776,NaN
580,NaN,NaN,NaN,NaN,NaN,NaN
590,NaN,-1.1913599155094,-0.912990862071431,-0.89432331554216,-1.05711680668991,NaN
600,NaN,-1.22411528506954,-0.938942435349553,-0.906473986828737,-1.09600822902236,NaN
600,NaN,-1.20834622067592,-0.938942435349553,-0.906473986828737,-1.09600822902236,NaN
610,NaN,-1.23183027301584,-0.957511733159298,-0.954647449692983,-1.14489725556953,NaN
620,NaN,-1.2407567053504,-0.947504275090711,-0.974831910080667,-1.17786274407262,NaN
630,NaN,-1.2578096689402,NaN,-1.0151492430328,-1.22540613992727,NaN
640,NaN,-1.25201328430737,-0.947990301942174,-1.04160191376243,-1.25931991695629,NaN
650,NaN,-1.2718630034825,-0.977611566331342,-1.04353616731441,-1.31053010572967,NaN
660,NaN,NaN,-0.968768601935492,-1.09604387678786,-1.35038372791118,NaN
660,NaN,NaN,NaN,NaN,-1.35038372791118,NaN
670,NaN,-1.30210853849663,-0.931812302612705,-1.15415466146663,NaN,NaN
670,NaN,NaN,NaN,NaN,NaN,NaN
680,NaN,-1.30064784956915,-0.952672331629345,-1.17757437393713,-1.43991381549223,NaN
690,NaN,-1.32027730612825,NaN,NaN,-1.4877522473247,NaN
690,NaN,NaN,NaN,NaN,-1.4877522473247,NaN
690,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,-1.33470450747937,-0.980030397638624,-1.25710424893038,-1.54733618315791,NaN
710,NaN,-1.33525516401949,NaN,-1.30249052024393,-1.5853824926109,NaN
720,NaN,-1.36353572464308,NaN,-1.34025309666915,-1.64456473898906,NaN
730,NaN,-1.37777744168595,NaN,-1.3745656649609,-1.67367592153053,NaN
740,NaN,-1.39090625287932,NaN,-1.40814093312735,-1.71908624784031,NaN
750,NaN,-1.40351049126342,NaN,-1.45164540816985,-1.77217881252321,NaN
760,NaN,-1.41099072563209,NaN,-1.48932596575251,-1.85772040783841,NaN
770,NaN,-1.42042434162202,NaN,-1.52735488605161,NaN,NaN
770,NaN,NaN,NaN,NaN,NaN,NaN
780,NaN,-1.43546016335959,NaN,-1.57970116621303,-1.97234826124116,NaN
790,NaN,-1.44029144995106,NaN,-1.61302110363641,-2.02182620046702,NaN
800,NaN,-1.45655030884616,NaN,-1.67445350652903,NaN,NaN
810,NaN,-1.45974701497116,NaN,-1.72185402150249,NaN,NaN
820,NaN,-1.45882828800686,NaN,-1.76893341676729,NaN,NaN
830,NaN,-1.46333497705889,NaN,-1.83695572934897,NaN,NaN
840,NaN,-1.48807684486414,NaN,-1.88499094843973,NaN,NaN
840,NaN,-1.47181218958441,NaN,-1.88499094843973,NaN,NaN
850,NaN,-1.50501388076128,NaN,-1.97522413747674,NaN,NaN
860,NaN,-1.51266800666893,NaN,-2.02229831599537,NaN,NaN
870,NaN,-1.52661410809553,NaN,-2.10613693350544,NaN,NaN
880,NaN,-1.53134105976361,NaN,NaN,NaN,NaN
890,NaN,-1.53037016533761,NaN,NaN,NaN,NaN
900,NaN,-1.54015156440551,NaN,NaN,NaN,NaN
910,NaN,-1.55442516156386,NaN,NaN,NaN,NaN
920,NaN,-1.56300960720509,NaN,NaN,NaN,NaN
930,NaN,-1.58807027616515,NaN,NaN,NaN,NaN
940,NaN,-1.60171206739852,NaN,NaN,NaN,NaN
950,NaN,-1.60250907028553,NaN,NaN,NaN,NaN
960,NaN,NaN,NaN,NaN,NaN,NaN
960,NaN,NaN,NaN,NaN,NaN,NaN
970,NaN,-1.61595088624907,NaN,NaN,NaN,NaN
980,NaN,-1.63314296307006,NaN,NaN,NaN,NaN
990,NaN,-1.61840855333339,NaN,NaN,NaN,NaN
1000,NaN,-1.64977858696629,NaN,NaN,NaN,NaN
1010,NaN,-1.67819536262875,NaN,NaN,NaN,NaN
1020,NaN,-1.69150096355342,NaN,NaN,NaN,NaN
1030,NaN,-1.70406752543741,NaN,NaN,NaN,NaN
1040,NaN,-1.71818751840299,NaN,NaN,NaN,NaN
1050,NaN,-1.72541271184781,NaN,NaN,NaN,NaN
1060,NaN,-1.73420292914351,NaN,NaN,NaN,NaN
1070,NaN,-1.74689990968173,NaN,NaN,NaN,NaN
1080,NaN,-1.7682566888614,NaN,NaN,NaN,NaN
1080,NaN,-1.75167033423455,NaN,NaN,NaN,NaN
1090,NaN,-1.76884792009395,NaN,NaN,NaN,NaN
1100,NaN,NaN,NaN,NaN,NaN,NaN
1100,NaN,NaN,NaN,NaN,NaN,NaN
1110,NaN,-1.81381047569084,NaN,NaN,NaN,NaN
1120,NaN,-1.83460210736881,NaN,NaN,NaN,NaN
1130,NaN,-1.84349086320326,NaN,NaN,NaN,NaN
1140,NaN,-1.86092638817883,NaN,NaN,NaN,NaN
1150,NaN,-1.86930506216559,NaN,NaN,NaN,NaN
1160,NaN,-1.88659857571764,NaN,NaN,NaN,NaN
1170,NaN,-1.89257754646641,NaN,NaN,NaN,NaN
1180,NaN,-1.91410531899275,NaN,NaN,NaN,NaN
1190,NaN,-1.92591545268215,NaN,NaN,NaN,NaN
1200,NaN,-1.94306985300302,NaN,NaN,NaN,NaN
1210,NaN,-1.96449908699061,NaN,NaN,NaN,NaN
1220,NaN,-1.96721469319109,NaN,NaN,NaN,NaN
1230,NaN,-1.99023503476039,NaN,NaN,NaN,NaN
1240,NaN,-2.01471026887253,NaN,NaN,NaN,NaN
